,RegionName,RegionID,SizeRank,City,State,Metro,CountyName,time,value
6325,19602,66015,6326,Reading,PA,Reading,Berks,1996-04-01,26800.0
21048,19602,66015,6326,Reading,PA,Reading,Berks,1996-05-01,26800.0
35771,19602,66015,6326,Reading,PA,Reading,Berks,1996-06-01,26800.0
50494,19602,66015,6326,Reading,PA,Reading,Berks,1996-07-01,26900.0
65217,19602,66015,6326,Reading,PA,Reading,Berks,1996-08-01,26900.0
79940,19602,66015,6326,Reading,PA,Reading,Berks,1996-09-01,26900.0
94663,19602,66015,6326,Reading,PA,Reading,Berks,1996-10-01,26900.0
109386,19602,66015,6326,Reading,PA,Reading,Berks,1996-11-01,26900.0
124109,19602,66015,6326,Reading,PA,Reading,Berks,1996-12-01,26900.0
138832,19602,66015,6326,Reading,PA,Reading,Berks,1997-01-01,26900.0
153555,19602,66015,6326,Reading,PA,Reading,Berks,1997-02-01,26800.0
168278,19602,66015,6326,Reading,PA,Reading,Berks,1997-03-01,26700.0
183001,19602,66015,6326,Reading,PA,Reading,Berks,1997-04-01,26600.0
197724,19602,66015,6326,Reading,PA,Reading,Berks,1997-05-01,26500.0
212447,19602,66015,6326,Reading,PA,Reading,Berks,1997-06-01,26400.0
227170,19602,66015,6326,Reading,PA,Reading,Berks,1997-07-01,26400.0
241893,19602,66015,6326,Reading,PA,Reading,Berks,1997-08-01,26300.0
256616,19602,66015,6326,Reading,PA,Reading,Berks,1997-09-01,26300.0
271339,19602,66015,6326,Reading,PA,Reading,Berks,1997-10-01,26300.0
286062,19602,66015,6326,Reading,PA,Reading,Berks,1997-11-01,26200.0
300785,19602,66015,6326,Reading,PA,Reading,Berks,1997-12-01,26200.0
315508,19602,66015,6326,Reading,PA,Reading,Berks,1998-01-01,26200.0
330231,19602,66015,6326,Reading,PA,Reading,Berks,1998-02-01,26100.0
344954,19602,66015,6326,Reading,PA,Reading,Berks,1998-03-01,25900.0
359677,19602,66015,6326,Reading,PA,Reading,Berks,1998-04-01,25700.0
374400,19602,66015,6326,Reading,PA,Reading,Berks,1998-05-01,25600.0
389123,19602,66015,6326,Reading,PA,Reading,Berks,1998-06-01,25400.0
403846,19602,66015,6326,Reading,PA,Reading,Berks,1998-07-01,25300.0
418569,19602,66015,6326,Reading,PA,Reading,Berks,1998-08-01,25200.0
433292,19602,66015,6326,Reading,PA,Reading,Berks,1998-09-01,25200.0
448015,19602,66015,6326,Reading,PA,Reading,Berks,1998-10-01,25200.0
462738,19602,66015,6326,Reading,PA,Reading,Berks,1998-11-01,25200.0
477461,19602,66015,6326,Reading,PA,Reading,Berks,1998-12-01,25300.0
492184,19602,66015,6326,Reading,PA,Reading,Berks,1999-01-01,25400.0
506907,19602,66015,6326,Reading,PA,Reading,Berks,1999-02-01,25500.0
521630,19602,66015,6326,Reading,PA,Reading,Berks,1999-03-01,25700.0
536353,19602,66015,6326,Reading,PA,Reading,Berks,1999-04-01,25800.0
551076,19602,66015,6326,Reading,PA,Reading,Berks,1999-05-01,25800.0
565799,19602,66015,6326,Reading,PA,Reading,Berks,1999-06-01,25800.0
580522,19602,66015,6326,Reading,PA,Reading,Berks,1999-07-01,25800.0
595245,19602,66015,6326,Reading,PA,Reading,Berks,1999-08-01,25800.0
609968,19602,66015,6326,Reading,PA,Reading,Berks,1999-09-01,25600.0
624691,19602,66015,6326,Reading,PA,Reading,Berks,1999-10-01,25500.0
639414,19602,66015,6326,Reading,PA,Reading,Berks,1999-11-01,25200.0
654137,19602,66015,6326,Reading,PA,Reading,Berks,1999-12-01,24900.0
668860,19602,66015,6326,Reading,PA,Reading,Berks,2000-01-01,24500.0
683583,19602,66015,6326,Reading,PA,Reading,Berks,2000-02-01,24100.0
698306,19602,66015,6326,Reading,PA,Reading,Berks,2000-03-01,23700.0
713029,19602,66015,6326,Reading,PA,Reading,Berks,2000-04-01,23300.0
727752,19602,66015,6326,Reading,PA,Reading,Berks,2000-05-01,22900.0
742475,19602,66015,6326,Reading,PA,Reading,Berks,2000-06-01,22600.0
757198,19602,66015,6326,Reading,PA,Reading,Berks,2000-07-01,22300.0
771921,19602,66015,6326,Reading,PA,Reading,Berks,2000-08-01,22100.0
786644,19602,66015,6326,Reading,PA,Reading,Berks,2000-09-01,21900.0
801367,19602,66015,6326,Reading,PA,Reading,Berks,2000-10-01,21800.0
816090,19602,66015,6326,Reading,PA,Reading,Berks,2000-11-01,21900.0
830813,19602,66015,6326,Reading,PA,Reading,Berks,2000-12-01,21900.0
845536,19602,66015,6326,Reading,PA,Reading,Berks,2001-01-01,21900.0
860259,19602,66015,6326,Reading,PA,Reading,Berks,2001-02-01,22000.0
874982,19602,66015,6326,Reading,PA,Reading,Berks,2001-03-01,22200.0
889705,19602,66015,6326,Reading,PA,Reading,Berks,2001-04-01,22300.0
904428,19602,66015,6326,Reading,PA,Reading,Berks,2001-05-01,22500.0
919151,19602,66015,6326,Reading,PA,Reading,Berks,2001-06-01,22700.0
933874,19602,66015,6326,Reading,PA,Reading,Berks,2001-07-01,23000.0
948597,19602,66015,6326,Reading,PA,Reading,Berks,2001-08-01,23200.0
